state_name,month_date,year,month,deaths,deaths_imputed,population,population_imputed,deaths_per_100k,trailing_avg,trailing_stddev,z_score
Delaware,2026-04-01,2026,April,174.0,false,1069873.0,true,16.26361259700918,238.0,20.190006528883618,-3.1698850571663884
Idaho,2026-04-01,2026,April,98.0,false,2059010.0,true,4.759568919043618,115.08333333333333,4.501683186892596,-3.7948768547449787
South Dakota,2026-04-01,2026,April,14.0,false,943147.0,true,1.4843921467173198,24.916666666666668,4.2094770423054895,-2.5933546036606288
Oklahoma,2026-04-01,2026,April,345.0,false,4148977.0,true,8.315302784276703,435.1666666666667,35.794446835262356,-2.5190127139453478
South Carolina,2026-04-01,2026,April,601.0,false,5651396.0,true,10.634540563075035,740.75,59.064102311117715,-2.3660733767504443
Minnesota,2026-04-01,2026,April,529.0,false,5863593.0,true,9.021772145508736,579.5,18.74469621956128,-2.6940954074945234
New Hampshire,2026-04-01,2026,April,164.0,false,1422199.0,true,11.531438286765775,180.16666666666666,7.081773446779802,-2.282855670004228
Montana,2026-04-01,2026,April,70.0,false,1151876.0,true,6.077043015046758,84.83333333333333,4.260459500043999,-3.481627588099392
Washington,2026-04-01,2026,April,1736.0,false,8074755.0,true,21.499104307189505,2212.4166666666665,182.4133459697476,-2.6117423817535697
Virginia,2026-04-01,2026,April,5.0,true,8940987.0,true,0.05592223766794426,748.25,88.1240086984864,-8.434137427213589
California,2026-04-01,2026,April,4165.0,false,39345846.0,true,10.585615569175967,4674.75,151.9127291332999,-3.3555450086918404
North Carolina,2026-04-01,2026,April,1249.0,false,11345801.0,true,11.00847793822578,1572.4166666666667,95.1806496122297,-3.397924556979606
